Cenário 3: Nesse teste, o robô preencherá APENAS os campos obrigatórios e salvará o cadastro de um novo Pacote. | Arquivo=cadastrodepacotes3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0279 | Sev=MEDIUM | Início=26/09/2025 15:31:09 | Erro=elecionando a opção 'Agregado'...
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de uma nova Cor de Pet. | Arquivo=cadastrodepetcores2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0302 | Sev=MEDIUM | Início=26/09/2025 15:57:37 | Erro=sucesso.
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de uma nova Espécie de Pet. | Arquivo=cadastrodepetespecies2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0305 | Sev=MEDIUM | Início=26/09/2025 16:01:32 | Erro=sucesso.
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de um novo Plano Empresa. | Arquivo=cadastrodeplanoempresa2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0314 | Sev=MEDIUM | Início=26/09/2025 16:09:44 | Erro=al após cancelamento...
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de uma nova Reclamação. | Arquivo=cadastrodereclamações1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0328 | Sev=MEDIUM | Início=26/09/2025 16:33:47 | Erro=sso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Registro de Óbito Pet. | Arquivo=cadastroderegistrodeobitopet1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0330 | Sev=MEDIUM | Início=26/09/2025 16:36:00 | Erro=sucesso.
Cenário 3: Nesse teste, o robô preencherá APENAS os campos obrigatórios e salvará o cadastro de um novo Registro de Óbito Pet. | Arquivo=cadastroderegistrodeobitopet3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0332 | Sev=MEDIUM | Início=26/09/2025 16:38:34 | Erro=sucesso.
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de uma nova Táboa Biométrica, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodetaboabiometrica3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0340 | Sev=MEDIUM | Início=26/09/2025 16:45:37 | Erro=alizada com sucesso.
Cenário 3: Nesse teste, o robô preencherá os campos NÃO obrigatórios e salvará o cadastro de um novo Tipo de Entrega, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodetipodeentrega3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0343 | Sev=MEDIUM | Início=26/09/2025 16:46:57 | Erro=alizada com sucesso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Vínculo Convênio/Conveniado. | Arquivo=cadastrovinculoconvenioconveniado1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0348 | Sev=MEDIUM | Início=26/09/2025 16:50:50 | Erro=ucesso.
